Problem Size,code 1,code 2,code 3
8388608,0.007177,0.007551,0.053007
16777216,0.014346,0.014358,0.105991
33554432,0.028727,0.028779,0.215378
67108864,0.057374,0.057436,0.683659
134217728,0.114672,0.114831,1.957513
268435456,0.229341,0.229615,2.276188
